level,tenth_marks,maths,science,english,aptitude,communication,target
10th,88,85,83,77,92,74,Computer Science
10th,88,87,93,83,86,70,Computer Science
10th,87,91,82,86,85,87,Computer Science
10th,91,98,82,84,93,70,Computer Science
10th,90,98,85,78,89,76,Computer Science
10th,95,88,77,82,88,81,Computer Science
10th,96,93,76,84,88,82,Computer Science
10th,87,94,95,89,96,88,Computer Science
10th,91,87,76,77,94,72,Computer Science
10th,92,88,87,78,99,90,Computer Science
10th,96,90,86,81,91,78,Computer Science
10th,87,90,92,77,90,84,Computer Science
10th,97,93,95,87,92,80,Computer Science
10th,86,92,76,80,97,78,Computer Science
10th,87,91,93,80,91,90,Computer Science
10th,100,97,95,84,89,78,Computer Science
10th,89,92,92,87,93,88,Computer Science
10th,98,97,86,77,89,86,Computer Science
10th,100,87,76,73,89,90,Computer Science
10th,90,98,94,72,97,82,Computer Science
10th,99,93,92,70,88,87,Computer Science
10th,93,95,78,79,98,75,Computer Science
10th,99,85,83,86,90,86,Computer Science
10th,88,94,95,86,91,74,Computer Science
10th,96,90,92,86,85,89,Computer Science
10th,95,100,75,73,96,79,Computer Science
10th,92,86,82,88,87,72,Computer Science
10th,100,87,92,74,89,85,Computer Science
10th,90,93,91,89,98,76,Computer Science
10th,91,94,87,90,96,84,Computer Science
10th,99,88,82,77,87,80,Computer Science
10th,85,92,93,77,85,72,Computer Science
10th,86,92,77,71,95,72,Computer Science
10th,92,93,90,76,89,88,Computer Science
10th,100,92,90,83,91,73,Computer Science
10th,88,98,86,83,98,84,Computer Science
10th,86,88,76,82,95,73,Computer Science
10th,92,91,81,87,99,74,Computer Science
10th,98,90,83,84,92,72,Computer Science
10th,99,88,76,90,85,72,Computer Science
10th,92,90,88,85,100,76,Computer Science
10th,97,86,80,82,85,82,Computer Science
10th,93,99,84,83,100,74,Computer Science
10th,91,94,81,71,86,80,Computer Science
10th,86,86,93,85,90,71,Computer Science
10th,87,90,77,89,87,77,Computer Science
10th,97,88,93,77,86,89,Computer Science
10th,87,98,93,88,95,78,Computer Science
10th,91,95,82,78,97,74,Computer Science
10th,94,99,85,72,85,84,Computer Science
10th,88,87,92,76,93,74,Computer Science
10th,96,87,82,81,94,75,Computer Science
10th,99,94,94,90,85,87,Computer Science
10th,94,88,79,78,88,73,Computer Science
10th,89,93,84,89,91,80,Computer Science
10th,91,93,91,85,93,71,Computer Science
10th,87,98,83,71,85,80,Computer Science
10th,89,93,80,84,98,87,Computer Science
10th,85,88,77,74,86,81,Computer Science
10th,89,98,79,71,94,81,Computer Science
10th,86,96,81,77,88,81,Computer Science
10th,98,89,82,75,90,83,Computer Science
10th,85,90,85,83,92,78,Computer Science
10th,90,88,87,71,100,77,Computer Science
10th,91,99,86,79,92,77,Computer Science
10th,85,91,87,80,93,72,Computer Science
10th,93,96,95,86,97,87,Computer Science
10th,95,85,78,78,90,88,Computer Science
10th,93,86,78,89,98,81,Computer Science
10th,95,98,94,86,88,82,Computer Science
10th,91,93,76,83,85,86,Computer Science
10th,91,96,88,72,95,89,Computer Science
10th,95,88,84,86,94,83,Computer Science
10th,95,97,84,87,89,76,Computer Science
10th,98,97,80,89,94,82,Computer Science
10th,85,94,84,76,98,88,Computer Science
10th,95,99,89,84,91,86,Computer Science
10th,100,90,77,79,95,72,Computer Science
10th,92,94,82,76,89,70,Computer Science
10th,86,92,90,89,87,84,Computer Science
10th,98,91,87,85,97,77,Computer Science
10th,89,85,78,83,92,75,Computer Science
10th,99,86,92,77,88,84,Computer Science
10th,89,99,91,87,95,84,Computer Science
10th,98,99,80,85,99,78,Computer Science
10th,92,93,91,85,92,78,Computer Science
10th,99,87,84,77,93,80,Computer Science
10th,95,87,79,74,92,82,Computer Science
10th,89,91,77,83,98,80,Computer Science
10th,99,98,76,76,98,82,Computer Science
10th,85,97,90,70,96,79,Computer Science
10th,97,98,92,87,92,85,Computer Science
10th,92,93,88,85,85,82,Computer Science
10th,95,97,80,84,89,89,Computer Science
10th,85,97,93,88,85,72,Computer Science
10th,98,89,89,75,86,78,Computer Science
10th,97,95,81,84,95,80,Computer Science
10th,97,93,88,78,87,85,Computer Science
10th,85,86,86,77,87,90,Computer Science
10th,86,85,82,76,85,89,Computer Science
10th,89,92,79,85,88,88,Computer Science
10th,91,99,83,81,90,89,Computer Science
10th,88,90,84,73,85,79,Computer Science
10th,97,97,81,72,92,73,Computer Science
10th,94,88,93,71,96,87,Computer Science
10th,98,96,77,86,95,70,Computer Science
10th,98,100,78,83,96,90,Computer Science
10th,99,89,88,75,93,89,Computer Science
10th,100,99,88,88,93,80,Computer Science
10th,92,87,83,84,92,84,Computer Science
10th,97,95,75,85,95,75,Computer Science
10th,100,91,86,78,95,78,Computer Science
10th,93,85,91,76,87,77,Computer Science
10th,98,100,92,77,100,90,Computer Science
10th,100,99,75,72,94,77,Computer Science
10th,97,92,84,88,96,85,Computer Science
10th,96,98,92,80,96,84,Computer Science
10th,93,94,83,77,88,76,Computer Science
10th,95,88,92,75,91,76,Computer Science
10th,100,93,93,86,94,73,Computer Science
10th,91,94,82,81,90,79,Computer Science
10th,85,89,83,71,86,87,Computer Science
10th,94,89,95,85,88,70,Computer Science
10th,94,100,90,84,95,75,Computer Science
10th,86,93,90,73,87,82,Computer Science
10th,100,72,86,74,74,88,Biology
10th,94,72,92,73,87,83,Biology
10th,92,86,97,84,84,79,Biology
10th,98,79,86,89,73,76,Biology
10th,91,78,87,75,77,75,Biology
10th,87,75,85,83,84,89,Biology
10th,100,79,86,77,79,79,Biology
10th,99,72,92,78,90,88,Biology
10th,91,83,88,87,77,90,Biology
10th,89,78,89,72,71,75,Biology
10th,94,89,94,84,73,84,Biology
10th,94,82,93,86,87,85,Biology
10th,99,72,86,83,80,89,Biology
10th,93,70,87,77,88,88,Biology
10th,85,78,86,75,85,86,Biology
10th,99,78,90,88,83,90,Biology
10th,100,72,100,81,83,80,Biology
10th,95,73,90,80,83,85,Biology
10th,94,82,86,84,72,80,Biology
10th,93,80,88,82,86,70,Biology
10th,99,83,86,76,86,81,Biology
10th,100,90,99,71,76,78,Biology
10th,89,79,99,85,73,70,Biology
10th,92,75,94,87,70,87,Biology
10th,98,72,92,73,84,73,Biology
10th,89,85,94,86,78,83,Biology
10th,100,85,92,84,87,74,Biology
10th,97,76,89,72,78,83,Biology
10th,95,86,93,70,79,79,Biology
10th,100,74,99,87,85,81,Biology
10th,95,87,97,84,80,76,Biology
10th,92,88,97,77,83,71,Biology
10th,95,85,97,82,90,74,Biology
10th,100,71,89,86,88,80,Biology
10th,88,84,88,86,84,70,Biology
10th,89,83,89,72,85,78,Biology
10th,95,89,97,90,72,80,Biology
10th,97,80,100,87,71,89,Biology
10th,87,77,94,77,72,83,Biology
10th,88,90,88,84,75,79,Biology
10th,85,71,95,71,79,81,Biology
10th,96,83,89,77,86,83,Biology
10th,90,75,90,72,89,82,Biology
10th,92,85,89,77,84,90,Biology
10th,93,84,93,70,84,79,Biology
10th,90,72,99,81,88,79,Biology
10th,98,78,99,79,76,82,Biology
10th,100,73,92,82,88,81,Biology
10th,94,79,85,82,78,70,Biology
10th,86,89,100,79,77,89,Biology
10th,96,77,91,89,78,74,Biology
10th,88,90,86,79,84,71,Biology
10th,96,74,87,79,80,83,Biology
10th,90,76,89,87,81,86,Biology
10th,93,75,93,85,79,80,Biology
10th,88,84,87,74,77,82,Biology
10th,96,72,97,70,78,87,Biology
10th,88,84,96,78,88,82,Biology
10th,96,73,92,85,70,89,Biology
10th,95,89,92,90,72,90,Biology
10th,99,79,98,73,74,71,Biology
10th,86,79,100,73,73,77,Biology
10th,89,82,99,81,87,83,Biology
10th,89,83,88,85,89,83,Biology
10th,93,71,96,76,84,84,Biology
10th,92,81,88,81,87,90,Biology
10th,96,71,97,78,76,73,Biology
10th,99,72,91,90,90,89,Biology
10th,85,71,95,77,74,88,Biology
10th,91,72,91,88,76,77,Biology
10th,95,74,85,78,74,74,Biology
10th,93,75,88,70,74,70,Biology
10th,96,77,95,70,75,78,Biology
10th,86,74,98,86,73,72,Biology
10th,100,84,96,86,88,73,Biology
10th,99,86,92,89,71,86,Biology
10th,94,84,85,71,85,82,Biology
10th,98,73,100,84,72,72,Biology
10th,95,89,89,72,74,78,Biology
10th,95,82,94,84,86,89,Biology
10th,98,73,88,90,90,87,Biology
10th,91,83,99,77,83,80,Biology
10th,99,82,98,73,80,83,Biology
10th,95,78,96,74,85,72,Biology
10th,87,72,87,83,73,81,Biology
10th,89,87,86,88,87,87,Biology
10th,95,73,98,81,83,71,Biology
10th,94,89,94,81,73,88,Biology
10th,91,74,100,77,73,81,Biology
10th,96,73,93,88,77,83,Biology
10th,85,89,93,70,75,78,Biology
10th,94,80,96,70,75,74,Biology
10th,97,72,89,90,70,72,Biology
10th,91,82,98,84,80,75,Biology
10th,96,79,95,88,89,72,Biology
10th,86,74,90,89,71,72,Biology
