level,tenth_marks,twelfth_marks,stream,aptitude,communication,target
12th,99,90,Maths,65,99,B.E CSE
12th,69,66,Commerce,57,58,BBA
12th,87,84,Biology,96,64,B.Pharm
12th,96,81,Commerce,93,80,CA Foundation
12th,62,74,Biology,57,85,MBBS
12th,58,64,Maths,77,52,B.Tech IT
12th,81,56,Maths,69,65,B.E CSE
12th,62,76,Commerce,55,73,BBA
12th,61,81,Commerce,91,74,BA Economics
12th,64,99,Biology,64,54,MBBS
12th,87,64,Maths,50,63,B.E CSE
12th,91,63,Commerce,54,72,CA Foundation
12th,90,100,Maths,78,81,Civil Engineering
12th,63,96,Commerce,59,72,CA Foundation
12th,58,74,Biology,88,92,B.Sc Nursing
12th,79,85,Commerce,91,75,BBA
12th,78,86,Biology,80,70,B.Pharm
12th,71,95,Maths,88,96,B.Tech IT
12th,81,57,Commerce,73,84,CA Foundation
12th,83,87,Maths,55,87,B.Tech IT
12th,97,89,Maths,63,52,B.E CSE
12th,65,78,Commerce,96,95,CA Foundation
12th,65,78,Maths,52,66,B.E CSE
12th,70,75,Biology,60,90,B.Pharm
12th,95,100,Biology,50,50,B.Pharm
12th,74,78,Biology,78,72,B.Sc Nursing
12th,59,66,Maths,89,56,B.Tech IT
12th,88,79,Maths,86,55,B.Tech IT
12th,87,66,Commerce,50,56,B.Com
12th,67,99,Biology,58,99,B.Sc Nursing
12th,89,78,Commerce,61,75,B.Com
12th,67,58,Commerce,99,88,BBA
12th,96,72,Maths,81,72,B.E CSE
12th,76,83,Commerce,63,69,B.Com
12th,92,59,Maths,56,79,Civil Engineering
12th,61,65,Biology,71,55,BDS
12th,63,93,Maths,98,70,Mechanical Engineering
12th,71,67,Biology,64,71,BDS
12th,94,60,Biology,100,86,BDS
12th,100,78,Maths,85,63,Civil Engineering
12th,82,87,Biology,72,55,B.Sc Nursing
12th,77,93,Maths,84,53,B.E CSE
12th,71,66,Maths,53,84,Civil Engineering
12th,85,75,Maths,60,99,B.Tech IT
12th,87,62,Biology,59,64,BDS
12th,94,76,Commerce,94,81,B.Com
12th,95,100,Commerce,62,67,BA Economics
12th,100,63,Maths,95,53,B.E CSE
12th,58,92,Commerce,71,73,BA Economics
12th,56,87,Maths,67,63,Civil Engineering
12th,98,57,Maths,81,71,B.Tech IT
12th,71,88,Maths,53,73,Mechanical Engineering
12th,60,65,Maths,64,50,B.E CSE
12th,81,79,Maths,96,98,Civil Engineering
12th,83,65,Maths,79,84,Mechanical Engineering
12th,74,97,Maths,96,82,Civil Engineering
12th,56,78,Biology,75,82,BDS
