level,cgpa,technical_skill,aptitude,certifications,projects,communication,target
College,6.14,89,76,0,3,78,Cloud Engineer
College,7.79,62,83,4,8,74,Software Engineer
College,9.9,74,56,6,8,58,HR Executive
College,6.34,58,66,10,0,77,Web Developer
College,9.67,59,66,5,1,86,Web Developer
College,8.38,60,73,3,10,68,AI Engineer
College,6.68,79,79,7,0,64,Cybersecurity Analyst
College,9.56,59,96,0,2,85,HR Executive
College,7.01,93,89,8,8,87,Digital Marketing Specialist
College,7.91,55,80,0,7,75,Cybersecurity Analyst
College,6.71,87,63,4,1,53,Cloud Engineer
College,9.93,92,79,4,6,60,Digital Marketing Specialist
College,9.06,96,99,6,2,89,Business Analyst
College,8.87,73,85,8,7,79,Cybersecurity Analyst
College,7.71,67,50,6,3,98,Data Scientist
College,6.79,91,88,1,6,62,Web Developer
College,8.39,71,55,3,8,94,Cloud Engineer
College,9.33,77,95,2,2,58,Mobile App Developer
College,6.34,91,62,1,5,95,Data Scientist
College,7.57,64,52,1,4,92,Cloud Engineer
College,8.44,99,67,10,10,62,AI Engineer
College,6.44,52,51,3,2,76,Web Developer
College,6.44,67,85,8,0,55,AI Engineer
College,9.61,92,73,10,8,100,AI Engineer
College,7.92,72,96,10,8,60,Cloud Engineer
College,9.06,93,90,9,3,52,Software Engineer
College,6.12,76,72,1,5,57,Software Engineer
College,9.08,65,87,5,7,98,Cybersecurity Analyst
College,6.3,97,72,8,9,93,Business Analyst
College,8.26,63,97,9,9,87,Data Scientist
College,6.87,52,77,5,4,66,AI Engineer
College,9.26,66,95,4,7,51,Software Engineer
College,9.4,62,53,9,9,73,Software Engineer
College,6.97,79,94,0,1,53,Project Manager
College,8.14,58,61,2,5,87,AI Engineer
College,6.14,61,53,5,8,56,Mobile App Developer
College,9.5,81,89,3,0,90,AI Engineer
College,9.56,78,69,7,1,66,Mobile App Developer
College,7.48,64,86,0,5,74,AI Engineer
College,7.32,76,89,1,0,57,Web Developer
College,6.17,79,87,1,5,92,Web Developer
College,9.63,57,69,9,10,92,Mobile App Developer
College,8.77,100,55,0,0,54,Project Manager
College,6.4,57,62,7,3,86,Web Developer
College,8.97,94,79,2,3,64,Business Analyst
College,6.02,79,67,5,7,60,Cloud Engineer
College,9.43,74,63,5,8,77,Web Developer
College,6.77,82,82,0,2,82,Data Scientist
College,7.17,91,57,4,3,88,Software Engineer
College,6.91,100,62,6,10,95,Software Engineer
College,7.1,81,51,2,0,95,Mobile App Developer
College,6.86,82,97,1,3,86,Project Manager
College,9.91,83,55,4,10,97,Data Scientist
College,8.93,86,99,10,6,62,Software Engineer
College,9.33,94,93,1,0,68,Digital Marketing Specialist
College,7.51,61,70,4,3,86,Cybersecurity Analyst
College,9.67,86,62,6,5,50,Digital Marketing Specialist
College,6.06,89,67,0,0,100,Cloud Engineer
College,7.85,85,74,8,1,75,HR Executive
College,7.1,56,62,7,7,51,Data Scientist
College,9.28,61,69,0,6,60,AI Engineer
College,7.1,51,74,1,9,54,Cloud Engineer
College,9.07,83,82,0,0,52,Cybersecurity Analyst
College,6.05,84,90,10,1,50,Cybersecurity Analyst
College,9.29,73,76,6,9,68,Cloud Engineer
College,6.21,95,99,5,2,63,Business Analyst
College,9.94,88,60,1,8,98,AI Engineer
College,6.07,91,84,10,1,51,Business Analyst
College,8.53,84,65,10,10,95,Project Manager
College,8.43,71,88,7,8,69,Project Manager
College,9.44,93,66,3,0,51,Project Manager
College,6.75,59,62,9,5,84,Digital Marketing Specialist
College,8.65,62,56,8,7,94,Cloud Engineer
College,8.98,82,59,4,1,65,HR Executive
College,9.58,88,51,6,4,60,Software Engineer
College,6.75,56,64,8,3,73,Project Manager
College,6.85,52,57,3,0,54,Cloud Engineer
College,6.91,91,68,5,8,52,Data Scientist
College,8.31,55,94,8,8,85,Project Manager
College,6.94,67,84,7,7,88,Web Developer
College,7,55,92,1,3,84,Cloud Engineer
College,9.6,75,70,2,10,97,Business Analyst
College,6.67,71,80,8,5,83,Project Manager
College,6.35,71,71,1,9,75,Project Manager
College,9.74,91,95,4,9,73,Business Analyst
College,6.45,52,53,3,7,54,Project Manager
College,8.15,60,57,0,6,100,Data Scientist
College,8.99,64,93,4,7,68,Project Manager
College,9.51,67,78,10,7,75,AI Engineer
College,6.88,74,79,8,10,56,Cybersecurity Analyst
